model,avg_brier,avg_logloss,accuracy,n_matches
combined_optimized,0.581929453125,0.9838615625,0.5546875,256
form,0.5821327734375,0.9839346484375,0.5546875,256
combined_default,0.584189140625,0.986275,0.55078125,256
elo,0.58864078125,0.9913262890625,0.55078125,256
tournament,0.58876421875,0.99585671875,0.53515625,256
poisson,0.6084699609375,1.01489203125,0.50390625,256
baseline,0.66667,1.09861,0.4140625,256
