year,home,away,home_score,away_score,model,p_home_win,p_draw,p_away_win,brier,log_loss,correct
2010,Japan,Cameroon,1,0,combined_default,0.3309,0.2701,0.399,0.67979,1.10585,0
2010,Japan,Cameroon,1,0,combined_optimized,0.3377,0.2737,0.3886,0.66456,1.08561,0
2010,Netherlands,Denmark,2,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Netherlands,Denmark,2,0,elo,0.6881,0.1776,0.1343,0.1469,0.37389,1
2010,Netherlands,Denmark,2,0,form,0.7426,0.1588,0.0986,0.10122,0.29763,1
2010,Netherlands,Denmark,2,0,tournament,0.685,0.1786,0.1364,0.1497,0.37829,1
2010,Netherlands,Denmark,2,0,combined_default,0.7064,0.1713,0.1223,0.13052,0.3476,1
2010,Netherlands,Denmark,2,0,combined_optimized,0.7341,0.1617,0.1041,0.10771,0.3091,1
2010,Brazil,North Korea,2,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Brazil,North Korea,2,1,elo,0.7652,0.1505,0.0843,0.08491,0.26766,1
2010,Brazil,North Korea,2,1,form,0.8219,0.1273,0.0508,0.0505,0.19612,1
2010,Brazil,North Korea,2,1,tournament,0.8379,0.12,0.0422,0.04245,0.17689,1
2010,Brazil,North Korea,2,1,combined_default,0.8032,0.1347,0.0621,0.06073,0.21915,1
2010,Brazil,North Korea,2,1,combined_optimized,0.8243,0.1262,0.0495,0.04927,0.19327,1
2010,Ivory Coast,Portugal,0,0,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Ivory Coast,Portugal,0,0,elo,0.3263,0.2675,0.4062,0.80806,1.31869,0
2010,Ivory Coast,Portugal,0,0,form,0.3233,0.2659,0.4107,0.81211,1.32453,0
2010,Ivory Coast,Portugal,0,0,tournament,0.26,0.2352,0.5048,0.90735,1.44735,0
2010,Ivory Coast,Portugal,0,0,combined_default,0.3087,0.2589,0.4324,0.83157,1.35144,0
2010,Ivory Coast,Portugal,0,0,combined_optimized,0.314,0.2614,0.4246,0.82439,1.34167,0
2010,New Zealand,Slovakia,1,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,New Zealand,Slovakia,1,1,elo,0.3451,0.2778,0.3772,0.78297,1.28101,0
2010,New Zealand,Slovakia,1,1,form,0.32,0.2642,0.4157,0.81666,1.33101,0
2010,New Zealand,Slovakia,1,1,tournament,0.2044,0.2102,0.5854,1.00836,1.5599,0
2010,New Zealand,Slovakia,1,1,combined_default,0.3012,0.2561,0.4427,0.84007,1.36213,0
2010,New Zealand,Slovakia,1,1,combined_optimized,0.303,0.2563,0.4407,0.8392,1.36156,0
2010,Honduras,Chile,0,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Honduras,Chile,0,1,elo,0.2702,0.2399,0.4899,0.39081,0.71362,1
2010,Honduras,Chile,0,1,form,0.2426,0.2273,0.5302,0.33121,0.63453,1
2010,Honduras,Chile,0,1,tournament,0.2594,0.2349,0.5057,0.36673,0.68173,1
2010,Honduras,Chile,0,1,combined_default,0.2578,0.2342,0.5079,0.36345,0.67738,1
2010,Honduras,Chile,0,1,combined_optimized,0.245,0.2284,0.5266,0.33632,0.64134,1
2010,South Africa,Uruguay,0,3,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,South Africa,Uruguay,0,3,elo,0.2735,0.2415,0.485,0.39836,0.72361,1
2010,South Africa,Uruguay,0,3,form,0.2723,0.2409,0.4869,0.39541,0.71971,1
2010,South Africa,Uruguay,0,3,tournament,0.2444,0.2281,0.5275,0.33501,0.63959,1
2010,South Africa,Uruguay,0,3,combined_default,0.2658,0.2379,0.4963,0.38098,0.7006,1
2010,South Africa,Uruguay,0,3,combined_optimized,0.2682,0.239,0.4929,0.3862,0.70752,1
2010,Spain,Switzerland,0,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
2010,Spain,Switzerland,0,1,elo,0.7057,0.1717,0.1226,1.29725,2.09865,0
2010,Spain,Switzerland,0,1,form,0.7841,0.1432,0.0727,1.49506,2.62076,0
2010,Spain,Switzerland,0,1,tournament,0.7512,0.1557,0.0931,1.41102,2.37411,0
2010,Spain,Switzerland,0,1,combined_default,0.7445,0.1577,0.0978,1.39314,2.32499,0
2010,Spain,Switzerland,0,1,combined_optimized,0.7792,0.145,0.0757,1.48249,2.58044,0
2010,Argentina,South Korea,4,1,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,1
2010,Argentina,South Korea,4,1,elo,0.3538,0.2828,0.3634,0.62963,1.03905,0
2010,Argentina,South Korea,4,1,form,0.3681,0.2811,0.3508,0.6014,0.99943,1
2010,Argentina,South Korea,4,1,tournament,0.4878,0.2406,0.2717,0.39407,0.71794,1
2010,Argentina,South Korea,4,1,combined_default,0.3923,0.2716,0.3361,0.55605,0.93576,1
2010,Argentina,South Korea,4,1,combined_optimized,0.3857,0.2751,0.3392,0.56811,0.95271,1
2010,France,Mexico,0,2,baseline,0.3333,0.3333,0.3333,0.66667,1.09861,0
